City,"['Latitude', 'Temperature(F)', 'Humidity (%)', 'Cloudiness (%)', 'Wind Speed (mph)']"
Ushuaia,"[-54.81, 32, 100, 90, 8.05]"
Busselton,"[-33.64, 60.31, 100, 92, 16.49]"
Vizinga,"[61.08, 62.91, 67, 36, 10.67]"
Albany,"[42.65, 68.43, 93, 1, 3.18]"
Curillo,"[1.03, 65.89, 95, 80, 2.17]"
Esperance,"[10.24, 77, 94, 20, 4.7]"
Saint-Augustin,"[44.83, 79.61, 65, 75, 19.46]"
Saskylakh,"[71.97, 65.35, 72, 24, 3.18]"
Port Alfred,"[-33.59, 58.6, 84, 36, 27.56]"
Airai,"[-8.93, 67.86, 71, 0, 1.72]"
Carnarvon,"[-30.97, 43.56, 42, 0, 9.78]"
Oranjestad,"[12.52, 82.4, 78, 40, 19.46]"
Bambous Virieux,"[-20.34, 77, 50, 75, 11.41]"
Mahebourg,"[-20.41, 77, 50, 75, 11.41]"
Sicamous,"[50.84, 57.2, 93, 1, 3.36]"
Matola,"[-25.97, 89.82, 39, 0, 13.47]"
Hobart,"[-42.88, 48.2, 57, 20, 6.93]"
Kodiak,"[39.95, 68, 94, 75, 12.75]"
Luderitz,"[-26.65, 60.31, 72, 0, 23.31]"
Shelburne,"[44.08, 67.53, 93, 1, 4.7]"
Villavicencio,"[4.13, 56.44, 80, 68, 1.28]"
Narsaq,"[60.91, 46.4, 70, 75, 4.7]"
Mataura,"[-46.19, 38.16, 82, 88, 2.95]"
Xianyang,"[34.31, 96.8, 47, 20, 8.95]"
Codrington,"[-28.95, 48.79, 59, 0, 5.53]"
Butaritari,"[3.07, 82, 100, 92, 4.74]"
Porto Novo,"[-23.68, 57.2, 93, 75, 6.93]"
Iqaluit,"[63.75, 44.6, 87, 90, 21.92]"
Bandarbeyla,"[9.49, 82.9, 81, 8, 29.12]"
Rikitea,"[-23.12, 73.44, 100, 64, 1.95]"
Taoudenni,"[22.68, 105.48, 22, 0, 4.63]"
Port Blair,"[11.67, 81.64, 100, 68, 27.11]"
Escarcega,"[18.61, 72.64, 95, 0, 1.95]"
Qaanaaq,"[77.48, 38.61, 91, 88, 6.42]"
Chuy,"[-33.69, 51.94, 91, 0, 13.02]"
Hithadhoo,"[-0.6, 82.26, 100, 24, 7.65]"
Bay Roberts,"[47.58, 60.84, 88, 75, 6.93]"
Kirkland Lake,"[48.15, 60.8, 100, 90, 8.05]"
Longyearbyen,"[78.22, 48.2, 70, 75, 3.36]"
Upernavik,"[72.79, 44.2, 81, 92, 7.2]"
Bredasdorp,"[-34.53, 53.6, 81, 88, 9.17]"
Praia,"[-20.25, 63.81, 88, 0, 4.7]"
Kavieng,"[-2.57, 81.1, 100, 48, 6.08]"
Puerto Ayora,"[-0.74, 69.4, 100, 80, 13.47]"
Erzin,"[36.95, 92.44, 55, 75, 12.75]"
Kikwit,"[-5.04, 88.83, 65, 0, 5.64]"
Thinadhoo,"[0.53, 82.71, 100, 76, 11.68]"
Rio Gallegos,"[-51.62, 32, 100, 90, 6.93]"
Sao Filipe,"[14.9, 76.41, 98, 36, 5.64]"
Fuyang,"[32.89, 89.46, 70, 8, 6.76]"
Carbonia,"[39.17, 86.81, 55, 20, 6.93]"
Dezhou,"[37.45, 92.16, 65, 80, 5.64]"
Oktyabrskiy,"[55.61, 68, 64, 40, 8.95]"
Yellowknife,"[62.45, 57.2, 100, 75, 5.82]"
Labuhan,"[-2.54, 76.6, 83, 48, 2.62]"
Cabo San Lucas,"[22.89, 82.35, 100, 48, 5.97]"
Pangnirtung,"[66.15, 40.5, 100, 92, 5.3]"
Victoria,"[5.28, 80.6, 88, 90, 9.17]"
Neiafu,"[-18.65, 74.52, 100, 0, 11.23]"
Nikolskoye,"[59.7, 66.2, 55, 20, 17.9]"
Acajutla,"[13.59, 71.91, 86, 24, 3.06]"
Chapais,"[49.78, 57.2, 100, 90, 3.36]"
Bluff,"[-23.58, 51.21, 39, 0, 7.2]"
Camacha,"[33.08, 74.41, 64, 40, 13.87]"
Palora,"[-1.7, 54.72, 100, 48, 2.39]"
Port Elizabeth,"[39.31, 74.01, 100, 1, 7.65]"
Coihueco,"[-36.63, 44.6, 100, 75, 3.36]"
Arraial do Cabo,"[-22.97, 64.35, 93, 75, 4.7]"
Chumikan,"[54.72, 58.5, 81, 0, 3.18]"
Caravelas,"[-17.73, 76.06, 99, 56, 6.64]"
Awbari,"[26.59, 109.98, 9, 8, 6.2]"
Talnakh,"[69.49, 52.93, 70, 8, 8.77]"
Ibra,"[22.69, 102.33, 26, 92, 2.73]"
Douglas,"[31.34, 69.8, 83, 1, 4.7]"
Norman Wells,"[65.28, 50, 87, 75, 4.7]"
Praia da Vitoria,"[38.73, 71.6, 68, 20, 4.07]"
Khatanga,"[71.98, 54.1, 83, 32, 6.42]"
Fort Nelson,"[58.81, 64.4, 63, 90, 3.36]"
Belmonte,"[40.36, 82.18, 38, 0, 6.42]"
Punta Arenas,"[-53.16, 32, 100, 90, 5.82]"
Port Lincoln,"[-34.72, 56.7, 99, 92, 26.89]"
Swan Hill,"[-35.34, 50.58, 76, 36, 13.47]"
Cape Town,"[-33.93, 55.4, 66, 75, 8.05]"
Krivosheino,"[57.34, 65.61, 65, 0, 6.98]"
Kaeo,"[-35.1, 46.35, 89, 12, 6.31]"
Kuytun,"[54.34, 62.1, 72, 0, 2.62]"
Jamestown,"[-33.21, 49.24, 71, 12, 15.48]"
Maningrida,"[-12.05, 79.66, 57, 0, 19.73]"
Mbandaka,"[0.05, 89.46, 53, 8, 3.06]"
Indiaroba,"[-11.53, 78.75, 69, 76, 7.09]"
Ponta do Sol,"[-20.63, 62.1, 90, 68, 4.52]"
Boshnyakovo,"[49.65, 63.81, 69, 80, 10.78]"
Tenali,"[16.24, 87.8, 58, 90, 4.7]"
Castro,"[-42.48, 33.94, 86, 32, 2.39]"
Filingue,"[14.35, 82.81, 96, 20, 9.78]"
Helong,"[25.94, 75.96, 90, 24, 0.94]"
Basoko,"[1.23, 85.95, 74, 24, 3.74]"
Hilo,"[19.71, 66.07, 83, 75, 13.02]"
Katangli,"[51.71, 57.51, 83, 12, 2.62]"
Dwarka,"[28.58, 89.6, 66, 75, 9.17]"
Baykit,"[61.68, 53.29, 71, 12, 3.51]"
Wakkanai,"[45.41, 65.8, 100, 0, 10.22]"
Severo-Kurilsk,"[50.68, 53.46, 97, 68, 2.28]"
Grenada,"[33.77, 71.6, 94, 1, 3.36]"
Thompson,"[55.74, 53.6, 100, 75, 3.51]"
Vaini,"[15.34, 70.66, 99, 92, 8.77]"
Klaksvik,"[62.23, 51.8, 93, 8, 14.99]"
Faanui,"[-16.48, 80.37, 99, 8, 17.49]"
Pevek,"[69.7, 34.65, 100, 0, 12.24]"
Leshukonskoye,"[64.9, 55.71, 75, 92, 6.87]"
Tuktoyaktuk,"[69.44, 42.57, 96, 88, 12.8]"
Horsham,"[-36.71, 48.33, 97, 92, 17.6]"
Hermanus,"[-34.42, 45.81, 100, 92, 3.4]"
Mariental,"[52.28, 91.4, 22, 0, 6.93]"
Antofagasta,"[-23.65, 55.4, 82, 90, 3.36]"
New Norfolk,"[-42.78, 48.2, 57, 20, 6.93]"
Panzhihua,"[26.59, 69.75, 88, 44, 1.72]"
Svetlogorsk,"[53.14, 78.8, 50, 40, 11.18]"
Trincomalee,"[8.58, 88.75, 48, 8, 23.31]"
Grand-Santi,"[4.27, 78.48, 87, 24, 3.18]"
Husavik,"[50.56, 61.93, 91, 0, 11.23]"
Pisco,"[-13.71, 60.8, 82, 90, 5.82]"
Chabahar,"[25.29, 90.19, 88, 64, 8.77]"
Lompoc,"[34.64, 61.05, 62, 1, 4.7]"
